customer_id,age,gender,loyalty_tier,signup_year,preferred_store
CUST000047,50,M,Silver,2021,NYC-Brooklyn
CUST000048,41,M,Bronze,2022,NYC-Brooklyn
CUST000049,47,F,Silver,2023,NYC-Brooklyn
CUST000050,38,M,Gold,2022,Phoenix-Central
CUST000051,42,M,Bronze,2022,Phoenix-Central
CUST000052,46,M,Bronze,2021,Chicago-Oak Park
CUST000053,18,F,Bronze,2023,Chicago-Oak Park
CUST000054,33,F,Silver,2022,LA-Pasadena
CUST000055,31,F,Silver,2020,Chicago-Oak Park
CUST000056,29,M,Silver,2022,LA-Downtown
CUST000057,34,M,Gold,2020,Chicago-Loop
CUST000058,58,F,Platinum,2021,NYC-Manhattan
CUST000059,25,Other,Bronze,2022,Chicago-Oak Park
CUST000060,51,M,Gold,2022,Miami-Brickell
CUST000061,18,F,Bronze,2023,Houston-Heights
CUST000062,33,F,Bronze,2021,Houston-Galleria
CUST000063,40,F,Bronze,2022,LA-Downtown
CUST000064,46,M,Bronze,2022,Houston-Heights
CUST000065,47,M,Gold,2020,Miami-Brickell
CUST000066,49,M,Bronze,2022,Miami-Brickell
CUST000067,33,F,Silver,2023,Miami-Brickell
CUST000068,31,F,Bronze,2022,LA-Downtown
CUST000069,50,F,Bronze,2022,LA-Downtown
CUST000070,35,M,Gold,2022,NYC-Manhattan
CUST000071,20,M,Gold,2023,Miami-Brickell
CUST000072,22,F,Bronze,2021,Chicago-Loop
CUST000073,25,F,Bronze,2020,Chicago-Oak Park
CUST000074,44,M,Bronze,2022,Chicago-Loop
CUST000075,39,F,Platinum,2020,Houston-Galleria
CUST000076,47,F,Bronze,2023,NYC-Manhattan
CUST000077,32,F,Bronze,2021,LA-Pasadena
CUST000078,40,F,Silver,2020,Chicago-Loop
CUST000079,46,M,Gold,2023,NYC-Brooklyn
CUST000080,33,F,Bronze,2021,Chicago-Oak Park
CUST000081,44,F,Silver,2021,Houston-Galleria
CUST000082,28,F,Bronze,2021,NYC-Brooklyn
CUST000083,32,F,Silver,2023,Phoenix-Central
CUST000084,32,M,Bronze,2021,Houston-Galleria
CUST000085,21,F,Gold,2022,NYC-Manhattan
CUST000086,44,F,Silver,2023,LA-Pasadena
CUST000087,31,M,Platinum,2022,Houston-Heights
CUST000088,38,Other,Silver,2020,Chicago-Oak Park
CUST000089,44,M,Gold,2021,NYC-Manhattan
CUST000090,44,F,Silver,2022,Houston-Galleria
CUST000091,47,M,Silver,2021,LA-Downtown
CUST000092,36,M,Bronze,2022,LA-Pasadena
CUST000093,32,F,Gold,2022,NYC-Manhattan
CUST000094,36,F,Bronze,2022,Houston-Heights
CUST000095,18,F,Silver,2022,LA-Downtown
CUST000096,18,F,Silver,2022,Houston-Galleria
CUST000097,19,M,Silver,2021,Chicago-Loop
CUST000098,24,F,Silver,2021,NYC-Manhattan
CUST000099,43,F,Silver,2023,NYC-Brooklyn
CUST000100,25,M,Silver,2023,NYC-Brooklyn
CUST000101,32,F,Silver,2020,NYC-Manhattan
CUST000102,56,M,Bronze,2020,NYC-Manhattan
CUST000103,33,M,Silver,2022,NYC-Manhattan
CUST000104,48,F,Gold,2021,Phoenix-Central
CUST000105,24,F,Silver,2021,Miami-Brickell
CUST000106,35,F,Bronze,2020,LA-Pasadena
CUST000107,24,F,Bronze,2021,NYC-Manhattan
CUST000108,33,M,Gold,2020,Chicago-Oak Park
CUST000109,49,Other,Gold,2020,Houston-Heights
CUST000110,18,M,Bronze,2021,Chicago-Oak Park
CUST000111,44,M,Platinum,2023,Chicago-Loop
CUST000112,41,M,Bronze,2023,Chicago-Loop
CUST000113,29,M,Gold,2021,NYC-Manhattan
CUST000114,18,M,Gold,2021,LA-Pasadena
CUST000115,39,F,Silver,2020,NYC-Brooklyn
CUST000116,30,F,Platinum,2023,LA-Pasadena
CUST000117,41,F,Silver,2020,NYC-Brooklyn
CUST000118,38,M,Bronze,2023,LA-Downtown
CUST000119,60,F,Gold,2022,LA-Downtown
CUST000120,34,M,Bronze,2023,LA-Downtown
CUST000121,23,F,Bronze,2021,NYC-Brooklyn
CUST000122,40,F,Bronze,2022,Houston-Galleria
CUST000123,41,M,Silver,2020,LA-Downtown
CUST000124,57,F,Silver,2022,Houston-Heights
CUST000125,49,F,Gold,2022,Chicago-Oak Park
CUST000126,42,M,Gold,2023,LA-Downtown
CUST000127,58,F,Gold,2022,NYC-Brooklyn
CUST000128,21,F,Silver,2023,NYC-Brooklyn
CUST000129,29,M,Gold,2022,Phoenix-Central
CUST000130,25,M,Bronze,2022,Houston-Heights
CUST000131,32,F,Silver,2020,Chicago-Oak Park
CUST000132,18,F,Bronze,2020,NYC-Manhattan
CUST000133,46,M,Bronze,2020,Chicago-Oak Park
CUST000134,34,F,Bronze,2020,Chicago-Oak Park
CUST000135,18,M,Bronze,2020,Miami-Brickell
CUST000136,23,Other,Platinum,2021,Chicago-Loop
CUST000137,42,F,Bronze,2021,NYC-Brooklyn
CUST000138,49,F,Gold,2022,Houston-Galleria
CUST000139,65,F,Bronze,2022,Chicago-Loop
CUST000140,78,F,Silver,2023,Houston-Heights
CUST000141,43,F,Bronze,2021,Miami-Brickell
CUST000142,24,M,Platinum,2020,Miami-Brickell
CUST000143,18,M,Bronze,2023,Chicago-Oak Park
CUST000144,41,F,Silver,2023,LA-Downtown
CUST000145,26,M,Platinum,2021,Chicago-Oak Park
CUST000146,32,M,Gold,2020,NYC-Manhattan
CUST000147,29,F,Gold,2023,Houston-Galleria
CUST000148,36,F,Bronze,2023,Chicago-Oak Park
CUST000149,52,M,Bronze,2023,Phoenix-Central
CUST000150,40,M,Bronze,2021,LA-Pasadena
CUST000151,35,M,Bronze,2020,Houston-Heights
CUST000152,23,M,Bronze,2021,Chicago-Loop
CUST000153,18,M,Silver,2022,Chicago-Oak Park
CUST000154,31,F,Platinum,2020,Phoenix-Central
CUST000155,37,F,Silver,2021,LA-Pasadena
CUST000156,62,M,Gold,2023,LA-Pasadena
CUST000157,39,M,Silver,2020,Chicago-Loop
CUST000158,51,F,Bronze,2020,Chicago-Oak Park
CUST000159,31,M,Silver,2022,NYC-Manhattan
CUST000160,21,M,Bronze,2023,NYC-Brooklyn
CUST000161,24,M,Bronze,2023,Chicago-Oak Park
CUST000162,27,F,Gold,2021,Houston-Heights
CUST000163,67,M,Bronze,2022,NYC-Manhattan
CUST000164,26,M,Bronze,2023,Chicago-Loop
CUST000165,49,F,Bronze,2022,Phoenix-Central
CUST000166,25,F,Silver,2021,LA-Pasadena
CUST000167,51,F,Bronze,2022,Miami-Brickell
CUST000168,43,F,Silver,2022,Chicago-Loop
CUST000169,35,F,Bronze,2022,Houston-Galleria
CUST000170,37,M,Gold,2022,LA-Downtown
CUST000171,28,M,Gold,2020,Phoenix-Central
CUST000172,44,M,Bronze,2023,Chicago-Oak Park
CUST000173,31,M,Gold,2021,Chicago-Loop
CUST000174,20,M,Bronze,2020,LA-Downtown
CUST000175,20,M,Bronze,2021,Houston-Heights
CUST000176,40,F,Bronze,2022,LA-Pasadena
CUST000177,60,F,Bronze,2022,Miami-Brickell
CUST000178,40,M,Platinum,2023,NYC-Manhattan
CUST000179,36,F,Gold,2023,Miami-Brickell
CUST000180,42,M,Gold,2022,LA-Pasadena
CUST000181,56,F,Bronze,2022,NYC-Manhattan
CUST000182,41,F,Silver,2022,LA-Pasadena
CUST000183,32,M,Silver,2021,LA-Pasadena
CUST000184,53,M,Bronze,2022,Houston-Heights
CUST000185,44,Other,Gold,2022,Miami-Brickell
CUST000186,59,F,Gold,2023,Houston-Galleria
CUST000187,40,F,Gold,2022,Houston-Galleria
CUST000188,20,M,Gold,2020,NYC-Brooklyn
CUST000189,18,M,Bronze,2023,LA-Downtown
CUST000190,61,M,Gold,2023,Houston-Galleria
CUST000191,62,F,Platinum,2021,Houston-Galleria
CUST000192,35,M,Silver,2023,Chicago-Loop
CUST000193,32,M,Bronze,2022,Phoenix-Central
CUST000194,58,Other,Bronze,2021,Chicago-Loop
CUST000195,22,F,Bronze,2022,Phoenix-Central
CUST000196,25,M,Bronze,2020,NYC-Brooklyn
CUST000197,47,F,Gold,2022,Phoenix-Central
CUST000198,32,F,Platinum,2023,Chicago-Oak Park
CUST000199,37,F,Gold,2021,Miami-Brickell
CUST000200,35,M,Bronze,2021,NYC-Brooklyn
CUST000201,42,F,Silver,2021,NYC-Brooklyn
CUST000202,57,M,Bronze,2021,LA-Downtown
CUST000203,39,F,Bronze,2022,Chicago-Oak Park
CUST000204,47,F,Bronze,2023,Phoenix-Central
CUST000205,18,F,Platinum,2023,Houston-Heights
CUST000206,37,F,Gold,2022,NYC-Manhattan
CUST000207,26,F,Gold,2022,Chicago-Loop
CUST000208,20,M,Bronze,2021,Houston-Heights
CUST000209,25,M,Bronze,2022,Houston-Heights
CUST000210,33,M,Silver,2020,LA-Pasadena
CUST000211,50,F,Silver,2022,Chicago-Loop
CUST000212,19,M,Gold,2022,LA-Downtown
CUST000213,38,F,Bronze,2022,LA-Downtown
CUST000214,31,F,Bronze,2020,Chicago-Oak Park
CUST000215,33,Other,Gold,2021,Chicago-Loop
CUST000216,52,M,Silver,2023,LA-Downtown
CUST000217,45,F,Silver,2023,NYC-Manhattan
CUST000218,56,F,Gold,2022,Phoenix-Central
CUST000219,35,Other,Silver,2023,Phoenix-Central
CUST000220,28,F,Silver,2023,NYC-Manhattan
CUST000221,34,M,Bronze,2023,Chicago-Oak Park
CUST000222,41,M,Silver,2023,Houston-Galleria
CUST000223,40,F,Bronze,2022,Chicago-Oak Park
CUST000224,22,F,Silver,2023,Phoenix-Central
CUST000225,39,F,Silver,2020,Houston-Galleria
CUST000226,41,F,Bronze,2022,LA-Downtown
CUST000227,73,F,Bronze,2023,LA-Pasadena
CUST000228,64,F,Bronze,2020,Houston-Heights
CUST000229,26,F,Silver,2020,Miami-Brickell
CUST000230,33,F,Bronze,2021,Chicago-Loop
CUST000231,18,M,Gold,2022,LA-Pasadena
CUST000232,29,M,Bronze,2022,Miami-Brickell
CUST000233,42,M,Bronze,2022,LA-Downtown
CUST000234,54,M,Silver,2021,LA-Pasadena
CUST000235,27,F,Silver,2023,Phoenix-Central
CUST000236,28,F,Bronze,2021,LA-Pasadena
CUST000237,18,M,Bronze,2023,Houston-Galleria
CUST000238,35,M,Bronze,2022,Phoenix-Central
CUST000239,23,F,Bronze,2020,Miami-Brickell
CUST000240,30,F,Bronze,2022,Houston-Galleria
CUST000241,25,F,Silver,2022,NYC-Brooklyn
CUST000242,36,M,Silver,2023,Houston-Heights
CUST000243,18,M,Bronze,2022,Miami-Brickell
CUST000244,18,F,Silver,2023,Chicago-Loop
CUST000245,67,F,Bronze,2021,Houston-Heights
CUST000246,19,F,Gold,2021,Chicago-Loop
CUST000247,22,F,Silver,2021,Miami-Brickell
CUST000248,63,M,Silver,2022,Miami-Brickell
CUST000249,78,M,Bronze,2020,Houston-Galleria
CUST000250,21,M,Silver,2020,Chicago-Oak Park
CUST000251,32,M,Bronze,2022,Houston-Heights
CUST000252,42,M,Platinum,2021,Houston-Heights
CUST000253,62,M,Bronze,2023,NYC-Brooklyn
CUST000254,24,M,Bronze,2021,Miami-Brickell
CUST000255,34,F,Gold,2021,Houston-Galleria
CUST000256,48,M,Silver,2022,Houston-Heights
CUST000257,44,F,Silver,2023,NYC-Brooklyn
CUST000258,32,M,Gold,2020,Houston-Heights
CUST000259,36,M,Bronze,2021,LA-Downtown
CUST000260,18,M,Bronze,2020,NYC-Brooklyn
CUST000261,34,M,Gold,2023,Phoenix-Central
CUST000262,34,M,Bronze,2020,LA-Downtown
CUST000263,41,F,Gold,2023,LA-Downtown
CUST000264,30,F,Bronze,2022,Houston-Heights
CUST000265,44,M,Bronze,2023,LA-Pasadena
CUST000266,52,M,Bronze,2021,Miami-Brickell
CUST000267,40,M,Gold,2022,Chicago-Oak Park
CUST000268,42,F,Bronze,2023,Chicago-Loop
CUST000269,38,M,Bronze,2020,Houston-Galleria
CUST000270,38,M,Bronze,2022,Houston-Heights
CUST000271,27,F,Bronze,2023,Chicago-Oak Park
CUST000272,42,F,Bronze,2020,NYC-Manhattan
CUST000273,36,F,Gold,2023,NYC-Brooklyn
CUST000274,67,M,Silver,2021,NYC-Brooklyn
CUST000275,60,M,Bronze,2021,Chicago-Oak Park
CUST000276,43,M,Bronze,2020,NYC-Manhattan
CUST000277,27,F,Bronze,2022,Phoenix-Central
CUST000278,22,F,Bronze,2020,NYC-Brooklyn
CUST000279,54,M,Bronze,2021,Houston-Galleria
CUST000280,41,F,Gold,2022,NYC-Manhattan
CUST000281,44,F,Bronze,2020,Phoenix-Central
CUST000282,18,F,Bronze,2021,NYC-Manhattan
CUST000283,50,M,Silver,2020,Houston-Galleria
CUST000284,44,M,Bronze,2020,Houston-Galleria
CUST000285,22,M,Gold,2022,Chicago-Oak Park
CUST000286,31,F,Silver,2022,Chicago-Loop
CUST000287,41,M,Bronze,2023,Miami-Brickell
CUST000288,38,M,Gold,2022,Chicago-Oak Park
CUST000289,33,F,Bronze,2023,NYC-Brooklyn
CUST000290,36,F,Bronze,2023,LA-Pasadena
CUST000291,34,F,Silver,2023,Chicago-Oak Park
CUST000292,40,F,Silver,2021,Chicago-Loop
CUST000293,58,F,Bronze,2020,LA-Pasadena
CUST000294,18,F,Bronze,2021,NYC-Brooklyn
CUST000295,34,M,Gold,2022,LA-Downtown
CUST000296,40,M,Silver,2023,Houston-Galleria
CUST000297,42,M,Silver,2022,Phoenix-Central
CUST000298,32,M,Silver,2023,NYC-Brooklyn
CUST000299,18,F,Silver,2021,LA-Downtown
CUST000300,42,F,Silver,2022,Phoenix-Central
CUST000301,62,M,Bronze,2022,LA-Pasadena
CUST000302,18,F,Bronze,2020,LA-Downtown
CUST000303,50,F,Silver,2023,Chicago-Oak Park
CUST000304,33,F,Silver,2022,LA-Downtown
CUST000305,37,F,Silver,2020,Phoenix-Central
CUST000306,23,M,Silver,2021,NYC-Brooklyn
CUST000307,33,M,Silver,2022,Houston-Galleria
CUST000308,56,M,Bronze,2022,NYC-Brooklyn
CUST000309,46,F,Gold,2021,Miami-Brickell
CUST000310,62,M,Gold,2022,LA-Downtown
CUST000311,54,F,Gold,2021,Houston-Heights
CUST000312,44,M,Gold,2021,Miami-Brickell
CUST000313,62,F,Gold,2020,Chicago-Oak Park
CUST000314,44,F,Bronze,2022,NYC-Manhattan
CUST000315,49,M,Silver,2020,LA-Pasadena
CUST000316,33,F,Silver,2022,Chicago-Loop
CUST000317,38,F,Bronze,2023,NYC-Manhattan
CUST000318,28,F,Gold,2023,LA-Pasadena
CUST000319,51,F,Bronze,2021,Chicago-Oak Park
CUST000320,21,F,Bronze,2022,Houston-Heights
CUST000321,48,M,Bronze,2023,NYC-Brooklyn
CUST000322,35,F,Bronze,2022,Houston-Galleria
CUST000323,54,M,Bronze,2021,Houston-Galleria
CUST000324,48,M,Bronze,2020,NYC-Manhattan
CUST000325,63,M,Bronze,2020,Chicago-Loop
CUST000326,48,F,Bronze,2023,NYC-Manhattan
CUST000327,18,M,Silver,2021,Phoenix-Central
CUST000328,37,Other,Silver,2021,Houston-Galleria
CUST000329,21,M,Bronze,2022,Chicago-Oak Park
CUST000330,30,M,Platinum,2023,Houston-Galleria
CUST000331,59,M,Bronze,2021,Miami-Brickell
CUST000332,46,M,Silver,2022,Houston-Galleria
CUST000333,28,M,Gold,2021,LA-Downtown
CUST000334,23,F,Gold,2021,Houston-Galleria
CUST000335,38,M,Silver,2022,Houston-Heights
CUST000336,20,M,Bronze,2023,Phoenix-Central
CUST000337,28,M,Gold,2020,Chicago-Oak Park
CUST000338,42,M,Silver,2020,LA-Pasadena
CUST000339,54,F,Gold,2023,Chicago-Loop
CUST000340,46,M,Bronze,2023,LA-Pasadena
CUST000341,18,F,Gold,2022,LA-Downtown
CUST000342,42,F,Gold,2020,Phoenix-Central
CUST000343,39,M,Silver,2020,Miami-Brickell
CUST000344,43,F,Platinum,2020,LA-Pasadena
CUST000345,60,M,Bronze,2021,Chicago-Oak Park
CUST000346,18,F,Bronze,2022,Miami-Brickell
CUST000347,29,F,Silver,2020,LA-Pasadena
CUST000348,46,M,Silver,2020,Houston-Heights
CUST000349,18,F,Bronze,2022,Phoenix-Central
CUST000350,58,M,Bronze,2021,Houston-Heights
CUST000351,43,Other,Silver,2021,Chicago-Oak Park
CUST000352,49,F,Bronze,2022,Miami-Brickell
CUST000353,30,M,Silver,2020,LA-Pasadena
CUST000354,49,M,Gold,2022,Houston-Heights
CUST000355,52,F,Bronze,2020,LA-Downtown
CUST000356,41,M,Gold,2021,NYC-Manhattan
CUST000357,41,F,Bronze,2022,Phoenix-Central
CUST000358,41,M,Silver,2022,Chicago-Loop
CUST000359,25,M,Gold,2021,Houston-Galleria
CUST000360,35,F,Bronze,2023,LA-Pasadena
CUST000361,35,F,Bronze,2023,Chicago-Loop
CUST000362,43,F,Platinum,2022,Chicago-Loop
CUST000363,51,F,Bronze,2021,Chicago-Oak Park
CUST000364,23,M,Bronze,2020,LA-Downtown
CUST000365,36,M,Bronze,2023,LA-Downtown
CUST000366,58,M,Bronze,2020,LA-Downtown
CUST000367,27,M,Bronze,2021,Houston-Galleria
CUST000368,26,M,Gold,2021,Chicago-Oak Park
CUST000369,40,F,Silver,2021,Miami-Brickell
CUST000370,49,M,Bronze,2020,Houston-Heights
CUST000371,38,M,Silver,2021,LA-Downtown
CUST000372,56,F,Bronze,2022,NYC-Brooklyn
CUST000373,49,M,Bronze,2021,NYC-Brooklyn
CUST000374,49,Other,Platinum,2023,LA-Downtown
CUST000375,45,M,Silver,2021,Houston-Heights
CUST000376,70,M,Silver,2020,Houston-Galleria
CUST000377,35,F,Silver,2023,LA-Downtown
CUST000378,18,F,Gold,2022,Houston-Galleria
CUST000379,60,F,Silver,2022,LA-Downtown
CUST000380,31,M,Bronze,2020,NYC-Manhattan
CUST000381,39,M,Bronze,2022,Chicago-Loop
CUST000382,56,F,Bronze,2023,NYC-Manhattan
CUST000383,18,M,Platinum,2023,Phoenix-Central
CUST000384,20,F,Silver,2022,Chicago-Loop
CUST000385,18,M,Bronze,2021,Houston-Galleria
CUST000386,26,M,Bronze,2023,Phoenix-Central
CUST000387,44,M,Gold,2020,Houston-Heights
CUST000388,45,F,Bronze,2021,LA-Downtown
CUST000389,41,M,Silver,2022,LA-Pasadena
CUST000390,18,Other,Gold,2021,Miami-Brickell
CUST000391,18,M,Gold,2020,Chicago-Loop
CUST000392,38,F,Bronze,2020,Miami-Brickell
CUST000393,31,M,Silver,2020,Chicago-Oak Park
CUST000394,44,F,Bronze,2023,Houston-Galleria
CUST000395,47,F,Platinum,2022,Chicago-Oak Park
CUST000396,39,F,Bronze,2023,Miami-Brickell
CUST000397,48,M,Silver,2023,Chicago-Oak Park
CUST000398,41,F,Silver,2021,LA-Pasadena
CUST000399,45,M,Gold,2022,Chicago-Loop
CUST000400,28,F,Bronze,2021,Chicago-Oak Park
CUST000401,35,F,Bronze,2023,LA-Downtown
CUST000402,40,M,Gold,2022,Houston-Heights
CUST000403,49,F,Bronze,2023,LA-Pasadena
CUST000404,32,F,Bronze,2023,NYC-Manhattan
CUST000405,45,M,Bronze,2020,LA-Pasadena
CUST000406,34,M,Gold,2022,Houston-Heights
CUST000407,36,M,Silver,2020,Houston-Heights
CUST000408,49,F,Silver,2022,Miami-Brickell
CUST000409,18,F,Gold,2020,Miami-Brickell
CUST000410,19,M,Gold,2022,Chicago-Oak Park
CUST000411,18,M,Bronze,2023,Chicago-Oak Park
CUST000412,18,M,Bronze,2021,LA-Downtown
CUST000413,28,M,Silver,2020,Miami-Brickell
CUST000414,48,M,Silver,2021,NYC-Brooklyn
CUST000415,34,M,Bronze,2020,Miami-Brickell
CUST000416,40,M,Gold,2020,LA-Downtown
CUST000417,53,F,Bronze,2022,Phoenix-Central
CUST000418,56,F,Bronze,2022,LA-Downtown
CUST000419,37,M,Silver,2022,Houston-Heights
CUST000420,56,F,Gold,2021,Phoenix-Central
CUST000421,39,M,Bronze,2022,Houston-Heights
CUST000422,26,M,Bronze,2023,NYC-Brooklyn
CUST000423,29,Other,Silver,2021,Miami-Brickell
CUST000424,18,F,Platinum,2021,Miami-Brickell
CUST000425,25,M,Bronze,2022,Houston-Galleria
CUST000426,32,M,Bronze,2020,Houston-Heights
CUST000427,49,F,Gold,2021,Chicago-Loop
CUST000428,62,M,Silver,2022,Houston-Heights
CUST000429,18,F,Bronze,2020,Miami-Brickell
CUST000430,43,M,Bronze,2022,Houston-Galleria
CUST000431,23,M,Silver,2021,LA-Downtown
CUST000432,44,F,Bronze,2021,NYC-Manhattan
CUST000433,36,F,Bronze,2022,Houston-Galleria
CUST000434,18,F,Bronze,2021,Houston-Heights
CUST000435,50,F,Gold,2021,Phoenix-Central
CUST000436,29,F,Silver,2022,LA-Pasadena
CUST000437,30,M,Silver,2022,Houston-Heights
CUST000438,23,M,Bronze,2023,NYC-Brooklyn
CUST000439,28,M,Bronze,2023,Houston-Heights
CUST000440,43,F,Platinum,2022,Phoenix-Central
CUST000441,35,F,Silver,2020,LA-Downtown
CUST000442,42,M,Bronze,2020,LA-Pasadena
CUST000443,43,F,Silver,2020,Phoenix-Central
CUST000444,56,M,Bronze,2020,Houston-Galleria
CUST000445,33,F,Bronze,2020,Chicago-Oak Park
CUST000446,18,F,Bronze,2022,NYC-Brooklyn
CUST000447,52,M,Gold,2022,Phoenix-Central
CUST000448,33,M,Silver,2020,NYC-Brooklyn
CUST000449,53,M,Bronze,2022,Chicago-Loop
CUST000450,43,F,Bronze,2023,Chicago-Loop
CUST000451,36,M,Gold,2020,Houston-Heights
CUST000452,42,F,Bronze,2020,NYC-Manhattan
CUST000453,65,F,Bronze,2022,NYC-Manhattan
CUST000454,67,F,Gold,2020,Houston-Galleria
CUST000455,38,F,Gold,2020,LA-Pasadena
CUST000456,40,M,Bronze,2022,NYC-Manhattan
CUST000457,53,F,Bronze,2022,Houston-Heights
CUST000458,26,M,Silver,2023,Chicago-Oak Park
CUST000459,42,M,Bronze,2020,Houston-Galleria
CUST000460,37,M,Silver,2023,LA-Pasadena
CUST000461,42,M,Silver,2020,LA-Downtown
CUST000462,26,F,Silver,2021,LA-Pasadena
CUST000463,18,M,Bronze,2020,Miami-Brickell
CUST000464,18,F,Gold,2021,Houston-Heights
CUST000465,22,M,Gold,2023,Phoenix-Central
CUST000466,31,F,Silver,2020,Chicago-Loop
CUST000467,33,F,Bronze,2021,Phoenix-Central
CUST000468,65,F,Platinum,2022,NYC-Brooklyn
CUST000469,53,Other,Bronze,2020,Houston-Galleria
CUST000470,24,M,Bronze,2022,LA-Pasadena
CUST000471,42,M,Bronze,2023,NYC-Brooklyn
CUST000472,32,F,Bronze,2020,LA-Pasadena
CUST000473,34,M,Bronze,2020,Houston-Galleria
CUST000474,40,F,Silver,2021,Chicago-Oak Park
CUST000475,46,F,Bronze,2023,Phoenix-Central
CUST000476,33,M,Bronze,2023,Houston-Galleria
CUST000477,52,F,Gold,2023,Chicago-Oak Park
CUST000478,22,M,Bronze,2022,LA-Pasadena
CUST000479,38,F,Silver,2021,Phoenix-Central
CUST000480,74,M,Gold,2023,LA-Pasadena
CUST000481,41,F,Bronze,2023,NYC-Brooklyn
CUST000482,58,M,Bronze,2020,Houston-Heights
CUST000483,39,F,Bronze,2022,Houston-Heights
CUST000484,46,F,Silver,2023,NYC-Brooklyn
CUST000485,37,F,Bronze,2023,Miami-Brickell
CUST000486,35,F,Platinum,2022,Houston-Galleria
CUST000487,27,F,Silver,2022,Chicago-Oak Park
CUST000488,44,F,Silver,2023,Miami-Brickell
CUST000489,26,F,Gold,2020,Houston-Heights
CUST000490,47,F,Bronze,2022,Houston-Heights
CUST000491,53,F,Gold,2023,Chicago-Oak Park
CUST000492,43,F,Silver,2022,LA-Downtown
CUST000493,33,M,Silver,2023,NYC-Manhattan
CUST000494,44,F,Silver,2020,NYC-Manhattan
CUST000495,33,M,Bronze,2021,LA-Downtown
CUST000496,51,M,Gold,2021,LA-Downtown
CUST000497,18,Other,Silver,2020,LA-Pasadena
CUST000498,33,M,Silver,2022,NYC-Manhattan
CUST000499,18,M,Gold,2021,LA-Pasadena
CUST000500,18,F,Silver,2021,Chicago-Oak Park
CUST000501,57,F,Platinum,2022,Chicago-Oak Park
CUST000502,50,M,Bronze,2022,Chicago-Loop
CUST000503,27,F,Bronze,2020,Phoenix-Central
CUST000504,18,M,Bronze,2021,Houston-Galleria
CUST000505,18,M,Bronze,2022,Chicago-Oak Park
CUST000506,30,M,Silver,2020,Houston-Heights
CUST000507,71,M,Bronze,2023,Miami-Brickell
CUST000508,44,F,Silver,2022,LA-Downtown
CUST000509,30,F,Platinum,2022,Phoenix-Central
CUST000510,44,F,Silver,2021,LA-Pasadena
CUST000511,18,F,Bronze,2022,Miami-Brickell
CUST000512,33,F,Platinum,2020,Chicago-Loop
CUST000513,39,F,Silver,2023,Houston-Galleria
CUST000514,36,M,Gold,2021,Houston-Heights
CUST000515,49,F,Bronze,2021,LA-Pasadena
CUST000516,42,F,Silver,2022,Chicago-Loop
CUST000517,47,M,Bronze,2021,LA-Pasadena
CUST000518,28,M,Bronze,2021,LA-Downtown
CUST000519,50,M,Bronze,2020,Miami-Brickell
